,Title,Tomatometer,Audience score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Runtime,Production Co,Aspect Ratio,Sound Mix,Box Office (Gross USA),View the collection
3619,"Goodnight Mommy (Ich Seh, Ich Seh)",85%,65%,R(SomeNudity|DisturbingViolentContent),"mysteryandthriller,horror",German,"VeronikaFranz,SeverinFiala",UlrichSeidl,"VeronikaFranz,SeverinFiala","Sep11,2015 limited","Mar28,2017",1h40m,UlrichSeidlFilmProduktionGmbH,,,$1.2M,
3620,L.A. Slasher,0%,31%,R(Violence|DrugUse|SexualContent|Language),"comedy,horror",English,MartinOwen,"ShreePatel,JonathanWillis,AbigailWright,MartinOwen,DanielSollinger,JeffreyD.Wright",MartinOwen,"Jun26,2015 limited","Dec2,2016",1h26m,JWrightProductions,,,,
3621,Mississippi Grind,91%,55%,R(Language),drama,English,"RyanFleck,AnnaBoden","TomRice,BenNearn,JamiePatricof,LynetteHowellTaylor","RyanFleck,AnnaBoden","Sep25,2015 limited","Aug15,2016",1h48m,"ElectricCityEntertainment,GowanusProjections",,Dolby,$129.7K,
3622,Being Evel,97%,83%,,"documentary,biography",English,DanielJunge,"JohnnyKnoxville,MatHoffman,DanielJunge,BrendanKiernan,JustinMoore-Lewy,JeffTremaine",,"Aug21,2015 limited","Apr28,2016",1h42m,DickhouseProductions,,,,
3623,The Hunting Ground,93%,85%,PG-13(InvolvingSexualAssault|DisturbingThematicMaterial|Language),documentary,English,KirbyDick,AmyZiering,KirbyDick,"Feb27,2015 limited","Dec1,2016",1h42m,,,,$405.9K,
3624,Knock Knock,37%,20%,R(Language|DisturbingViolentBehavior|Nudity|StrongSexualContent),mysteryandthriller,English,EliRoth,"EliRoth,NicolásLópez,MiguelAsensioLlamas,ColleenCamp,CassianElwes,TimDegraye","EliRoth,NicolásLópez,GuillermoAmoedo","Oct9,2015 limited","Jun11,2016",1h39m,"Dragonfly,CampGrey,SobrasInternationalPictures",,,$34.0K,
3625,Partisan,58%,38%,,"mysteryandthriller,drama",English(Australia),ArielKleiman,"SarahShaw,AnnaMcLeish","ArielKleiman,SarahCyngler","Oct2,2015 limited","Oct2,2015",1h38m,WarpFilmsAustralia,,DolbyDigital,,
3626,The Transporter Refueled,16%,30%,PG-13(ADrugReference|Action|ThematicElements|SequencesofViolence|SexualMaterial|SomeLanguage),"mysteryandthriller,action",English,CamilleDelamarre,"LucBesson,MarkGao","AdamCooper,BillCollage,LucBesson","Sep4,2015 wide","Dec8,2015",1h31m,EuropaCorp,,,$16.0M,
3627,Amy,95%,87%,R(Language|DrugMaterial),"music,documentary,biography",English,AsifKapadia,JamesGay-Rees,,"Jul3,2015 limited","Jul27,2016",2h8m,Film4,,,$8.4M,
3628,Roger Waters The Wall,100%,94%,R(ViolentImages|SomeLanguage|Nudity),documentary,English,"SeanEvans,RogerWaters","ClareSpencer,RogerWaters","SeanEvans,RogerWaters",,"Apr5,2016",2h12m,"Rue21Productions,Ltd.",,,,
3629,Walt Before Mickey,17%,40%,PG(Language|PeriodSmokingThroughout|MildThematicElements),"drama,history,biography",English,KhoaLê,"FrankLicari,DevonNelson,ChristianVogeler","ArthurL.Bernstein,ArmandoGutiérrez","Aug14,2015 limited","Nov2,2016",2h,,,,,
3630,90 Minutes In Heaven,26%,50%,PG-13(IntenseInjuryImages|IntenseAccidentImages),drama,English,MichaelPolish,"RickJackson,RandallEmmett,DawnParouse,MichaelPolish,GeorgeFurla",MichaelPolish,"Sep11,2015 wide","Apr5,2016",2h1m,Emmett/FurlaFilms,,,$4.8M,
3631,Momentum,26%,27%,,"mysteryandthriller,action",English,StephenS.Campanelli,"DonaldA.Barton,AntonErnst","AdamMarcus,DebraSullivan","Oct16,2015 limited","Nov30,2016",1h36m,AzariMedia,,,,
3632,One & Two,44%,34%,,"mysteryandthriller,drama",English,AndrewDrozPalermo,"KimSherman,MatthewPerniciaro,MichaelSherman","AndrewDrozPalermo,NeimaShahdadi","Aug14,2015 limited","Dec19,2016",1h30m,,,,,
3633,Yakuza Apocalypse,61%,39%,R(StrongBloodyViolence|Language|ARape),"action,horror",Japanese,TakashiMiike,"YoshinoriChiba,Shin'ichirôMasuda,ShinjiroNishimura,MisakoSaka",YoshitakaYamaguchi,"Oct9,2015 limited","Oct9,2015",1h55m,"BackupMedia,NikkatsuCorporation,DjangoFilms",,DolbyDigital,,
3634,"Sex, Death And Bowling",17%,72%,R(SomeLanguage),"comedy,drama",English,AllyWalker,"AllyWalker,LarryRattner,SigDeMiguel,JodiSchoenbrunCarter",AllyWalker,"Oct30,2015 limited","Dec15,2015",1h32m,,,,$5.2K,
3635,Finders Keepers,98%,73%,R(Language),documentary,English,"BryanCarberry,J.ClayTweel","BryanCarberry,EdCunningham,AdamGibbs,SethGordon",,"Sep25,2015 limited","Apr2,2016",1h24m,FireflyTheater&Films,,,$35.6K,
3636,The Girl King,42%,45%,,"drama,history,biography",English,MikaKaurismäki,"MikaKaurismäki,ArnieGelbart",,,"Dec16,2016",1h46m,"MariannaFilms,TriptychMedia",,,,
3637,Stations Of The Elevated,100%,33%,,documentary,English,ManfredKirchheimer,,,,"Oct21,2016",46m,StreetwiseFilms,,,,
3638,The Man From U.N.C.L.E.,67%,73%,PG-13(PartialNudity|Action/Violence|SomeSuggestiveContent),"adventure,action,comedy",English,GuyRitchie,"JohnDavis,LionelWigram,GuyRitchie,SteveClark-Hall","GuyRitchie,LionelWigram","Aug14,2015 wide","Jun28,2016",1h56m,"Ritchie/Wigram,DavisEntertainment",Scope(2.35:1),DolbyAtmos,$45.4M,
