,Title,Tomatometer,Audience score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Runtime,Production Co,Aspect Ratio,Sound Mix,Box Office (Gross USA),View the collection
1518,The Devil We Know,100%,90%,,documentary,English,StephanieSoechtig,"StephanieSoechtig,JoshuaA.Kunau,KristinLazure,CarlyPalmour",,,"Oct17,2018",1h35m,,,,,
1519,A Whale Of A Tale,88%,NaN,,documentary,English,MegumiSasaki,MegumiSasaki,,"Aug17,2018 limited","May16,2019",1h35m,,,,,
1520,Mandy,91%,66%,,"mysteryandthriller,horror",English,PanosCosmatos,"DanielNoah,JoshC.Waller,ElijahWood,NateBolotin,AdrianPolitowski","PanosCosmatos,AaronStewart-Ahn","Sep14,2018 limited","Sep14,2018",2h1m,"SpectreVision,CompanyX,XYZFilms",Scope(2.35:1),,$1.2M,
1521,Sorry To Bother You,93%,70%,R(GraphicNudity|DrugUse|PervasiveLanguage|SomeStrongSexualContent),"scifi,comedy,fantasy",English,BootsRiley,"NinaYangBongiovi,ForestWhitaker,CharlesD.King,GeorgeRush,JonathanDuffy,KellyWilliams",BootsRiley,"Jul13,2018 wide","Oct9,2018",1h45m,SignificantProds.,Scope(2.35:1),,$17.5M,
1522,Dovlatov,80%,60%,PG-13(SmokingThroughout|ThematicContent|SomeBloodyImages),drama,Russian,AlekseyGerman,"DariuszJablonski,ViolettaKaminska,MiroslavMogorovich,IsabellaWojcik","AlekseyGerman,YuliyaTupikina",,"Oct26,2018",2h6m,"Saga,ChannelOneRussia,Netflix",Scope(2.35:1),,,
1523,Whitney,87%,75%,R(LanguageandDrugContent),"music,documentary",English,KevinMacdonald,"SimonChinn,JonathanChinn,LisaErspamer",,"Jul6,2018 wide","Oct2,2018",2h,"Lightbox,HappyStreetEntertainment,AltitudeFilmEntertainment",,,$3.0M,
1524,The Bill Murray Stories: Life Lessons Learned From A Mythical Man,95%,79%,,documentary,English,TommyAvallone,"RaymondEsposito,DerrickKunzer,MaxPaolucci,KevinSistiJr.",,"Sep28,2018 limited","Oct26,2018",1h10m,"DoubleWindsorFilms,GravitasVentures,OldLimeProductions",,,,
1525,Mario,100%,72%,,"romance,drama",German,MarcelGisler,RudolfSantschi,"MarcelGisler,ThomasHess",,"Oct30,2018",1h59m,"TeleclubAG,TrilunaFilmAG,SchweizerRadioundFernsehen(SRF),CaracFilms",,,,
1526,Unfriended: Dark Web,59%,38%,R(SexualReferences|Language|SomeDisturbingViolence),"mysteryandthriller,horror",English,StephenSusco,"JasonBlum,TimurBekmambetov",StephenSusco,"Jul20,2018 wide","Oct2,2018",1h28m,"BazelevsProduction,BlumhouseProductions",,,$8.8M,
1527,Thunder Road,96%,93%,,"comedy,drama",English,JimCummings,"NatalieMetzger,ZackParker,BenjaminWiessner",JimCummings,"Oct12,2018 limited","Nov1,2018",1h32m,VanishingAngle,,,,
1528,Our House,62%,28%,PG-13(Terror|SomeThematicContent),"mysteryandthriller,scifi,horror",English,AnthonyScottBurns,"UlfIsrael,MartinKatz,LeeKim,KarenWookey",NathanParker,"Jul27,2018 limited","Jul27,2018",1h31m,"ProsperoPictures,SenatorFilmProduktion,XYZFilms",,,,
1529,Solis,0%,26%,,"adventure,scifi,mysteryandthriller",English,CarlStrathie,"CharletteKilby,AlanLatham,CarlStrathie,CalebWilson",CarlStrathie,"Oct26,2018 limited","Oct26,2018",1h33m,"GoldfinchStudios,PremierePicture",,,,
1530,Stella's Last Weekend,65%,76%,,"romance,drama",English,PollyDraper,"PollyDraper,KenH.Keller,CaronRudner",PollyDraper,"Oct12,2018 limited","Oct23,2018",1h42m,"TheOrchard,RelatedPictures",,,$4.2K,
1531,Killer Kate!,71%,57%,,"mysteryandthriller,horror",English,ElliotFeld,"ElliotFeld,DavidFeld,DanielMoya,AlexandraFeld,JessePruett","ElliotFeld,DanielMoya","Oct26,2018 limited","Oct26,2018",1h20m,FeldFilms,Scope(2.35:1),,,
1532,Brampton's Own,40%,59%,,"romance,drama",English,MichaelDoneger,"MichaelDoneger,MarkDicristofaro",MichaelDoneger,"Oct19,2018 limited","Oct19,2018",1h30m,,,,,
1533,Welcome To Mercy,70%,48%,,mysteryandthriller,English,TommyBertelsen,,KristenRuhlin,"Nov2,2018 limited","Nov3,2018",1h44m,IFCFilms,,,,
1534,Change In The Air,11%,50%,PG(BriefLanguage|SomeThematicElements),drama,English,DianneDreyer,BenjaminCox,AudraGorman,"Oct19,2018 limited","Oct22,2018",1h34m,"RedSquarePictures,ScreenMediaVentures",,,,
1535,Been So Long,92%,70%,,musical,English,TingeKrishnan,"NadineMarsh-Edwards,AmandaJenks",CheWalker,,"Oct26,2018",,,,,,
1536,Adam Sandler: 100% Fresh,90%,91%,,,,UnknownDirector,,,,,,,,,,
1537,Monster Party,76%,50%,,"mysteryandthriller,horror",English,ChrisvonHoffmann,"BrianKavanaugh-Jones,JesseBerger",ChrisvonHoffmann,"Nov2,2018 limited","Nov3,2018",1h29m,"AutomatikEntertainment,DarkWebProductions",,,,
1538,The Holiday Calendar,33%,35%,TVPG,"romance,other,fantasy",English,BradleyWalsh,"BradKrevoy,AmyKrell,AmandaPhillipsAtkins","AmynKaderali,CarrieFreedle",,"Nov2,2018",1h34m,,,,,
1539,Ant-Man And The Wasp,87%,75%,PG-13(Sci-FiActionViolence),"adventure,action,comedy,fantasy",English,PeytonReed,"KevinFeige,StephenBroussard","ChrisMcKenna,ErikSommers,PaulRudd,AndrewBarrer,GabrielFerrari","Jul6,2018 wide","Oct2,2018",1h58m,MarvelStudios,Scope(2.35:1),"DolbyAtmos,DTS",$216.6M,MarvelCinematicUniverse
1540,Domain,67%,53%,,"scifi,mysteryandthriller",English,NathanielAtcheson,M.ElizabethHughes,NathanielAtcheson,"Sep28,2018 limited","Oct2,2018",1h37m,,,,,
1541,The Forest Of The Lost Souls (A Floresta Das Almas Perdidas),75%,71%,,"mysteryandthriller,horror,drama",Portuguese,JoséPedroLopes,"JoséPedroLopes,AnaAlmeida",JoséPedroLopes,"Aug3,2018 limited","Aug7,2018",1h11m,,,,,
1542,Rodin,32%,21%,,"biography,romance,drama",French(France),JacquesDoillon,"CharlesS.Cohen,KristinaLarsen,PatrickQuinet",,"Jun1,2018 limited","Oct2,2018",1h59m,"France3Cinéma,LesFilmsduLendemain,WildBunch,ArtémisProductions",,,$44.3K,
1543,Mamma Mia! Here We Go Again,79%,66%,PG-13(SomeSuggestiveMaterial),"musical,comedy",English,OlParker,"JudyCraymer,GaryGoetzman",OlParker,"Jul20,2018 wide","Oct9,2018",1h54m,"Playtone,Littlestar",Scope(2.35:1),"DTS,DolbyAtmos",$120.6M,
1544,A Prayer Before Dawn,92%,75%,R(LanguageThroughout|DrugUse|ABrutalRapeSequence|SomeSexualContentandNudity|StrongViolence),"mysteryandthriller,action",English,Jean-StéphaneSauvaire,"RitaDagher,NicholasSimon,RoyBoulter,SolPapadopoulos","JonathanHirschbein,NickSaltrese","Aug10,2018 limited","Aug7,2018",1h57m,"SenoritaFilms,HanWayFilms,IndochinaProductions",Scope(2.35:1),,$14.5K,
1545,The Catcher Was A Spy,32%,51%,R(Language|Violence|SomeSexuality),"mysteryandthriller,drama,history,biography",English,BenLewin,"KevinScottFrakes,TatianaKelly,BuddyPatrick",RobertRodat,"Jun22,2018 limited","Jul1,2018",1h34m,"AnimusFilms,PalmStarMedia,SerenaFilms",,,$706.6K,
1546,Longing,75%,NaN,,drama,Hebrew,SaviGabizon,"LeonEdery,MosheEdery,SaviGabizon,TamiLeon,ChilikMichaeli,AvrahamPirchi",SaviGabizon,"Oct17,2018 limited","Oct18,2018",1h40m,"UnitedChannelMovies,UnitedKingFilms",,,,
1547,"Don't Worry, He Won't Get Far On Foot",76%,75%,R(LanguageThroughout|AlcoholAbuse|SexualContent|SomeNudity),"drama,comedy,biography",English,GusVanSant,"Charles-MarieAnthonioz,MouradBelkeddar,SteveGolin,NicolasLhermitte",GusVanSant,"Jul13,2018 limited","Oct2,2018",1h53m,"Iconoclast,BigIndiePictures,AnonymousContent",Flat(1.85:1),,$1.4M,
1548,Loving Pablo,31%,35%,R(Language|DrugUse|SomeSexuality|StrongViolentContent),"biography,crime,drama",English,FernandoLeóndeAranoa,"DeanNichols,JavierBardem,MiguelMenéndezdeZubillaga,KalinaKottas",FernandoLeóndeAranoa,"Oct5,2018 limited","Oct5,2018",2h8m,EscobarFilms,Scope(2.35:1),DolbyAtmos,$16.6K,
1549,Angels Wear White,94%,71%,,drama,Chinese,VivianQu,SeanChen,VivianQu,"May4,2018 limited","Sep1,2018",1h47m,22HoursFilms,,,,
1550,55 Steps,50%,85%,PG-13(SomeThematicElements|DisturbingImages),"drama,biography",English,BilleAugust,"LesleyBruce-Neary,AnitaElsani,SaraRisher,LaurieShearing",MarkBruceRosin,,"Oct16,2018",1h55m,ElsaniFilm,,,,
1551,The Sentence,90%,89%,,,,RudyValdez,,,,,,,,,,
1552,The Kindergarten Teacher,91%,68%,,,,SaraColangelo,,,,,,,,,,
1553,Private Life,94%,78%,R(Language|StrongSexualContent|SomeGraphicNudity),"comedy,drama",English,TamaraJenkins,"StefanieAzpiazu,AnthonyBregman",TamaraJenkins,"Oct5,2018 limited","Oct5,2018",2h4m,LikelyStory,Flat(1.85:1),,,
1554,Three Identical Strangers,97%,88%,PG-13(SomeMatureThematicMaterial),"documentary,biography,history,mysteryandthriller,drama",English,TimWardle,"GraceHughes-Hallett,BeckyRead",,"Jun29,2018 limited","Oct2,2018",1h36m,Raw,Flat(1.85:1),,$12.3M,
1555,Errementari: The Blacksmith And The Devil (El Herrero Y El Diablo),78%,71%,,"horror,fantasy",Basque,PaulUrkijoAlijo,,,,"Oct12,2018",1h38m,,,,,
1556,Heavy Trip (Hevi Reissu),94%,85%,,"music,comedy",Finnish,"JuusoLaatio,JukkaVidgren","KaarleAho,KaiNordberg","JuusoLaatio,JukkaVidgren,AleksiPuranen,JariOlaviRantala","Oct5,2018 limited","Oct12,2018",1h32m,MakingMoviesOy,,,$9.7K,
1557,All Square,91%,79%,,comedy,English,JohnHyams,"JordanFoley,JonathanRosenthal,MichaelKelly,YeardleySmith,BenCornwell",TimothyBrady,"Oct12,2018 limited","Oct12,2018",1h33m,"MillHouseMotionPictures,Paperclip",Scope(2.35:1),,,
1558,Catwalk: Tales From The Cat Show Circuit,80%,75%,,,,MichaelMcNamara,,,,,,,,,,
1559,After Everything (Shotgun),83%,75%,,romance,English,"HannahMarks,JoeyPower","JordanYaleLevine,JordanBeckerman,MichaelJ.Rothstein,SeanGlover","HannahMarks,JoeyPower","Oct12,2018 limited","Oct15,2018",1h35m,"GoodDeedEntertainment,YaleProductions",,,,
1560,Down A Dark Hall,50%,21%,PG-13(Smoking|MatureThematicContent|ASexualReference|SomeLanguage|TerrorandViolence),"mysteryandthriller,horror",English,RodrigoCortés,"StephenieMeyer,WyckGodfrey,MartyBowen,MeghanHibbett,AdriánGuerra","MichaelGoldbach,ChrisSparling","Aug17,2018 limited","Aug19,2018",1h36m,"Lionsgate,FickleFish,TempleHillEntertainment,NostromoPictures",,,,
1561,The 12th Man,86%,80%,,"adventure,drama,history",English,HaraldZwart,"VeslemøyRuudZwart,EspenHorn,AageAaberge,HaraldZwart",PetterSkavlan,"May4,2018 limited","Jun21,2019",2h11m,"IFCFilms,ZwartArbeid,NordiskFilm",,,,
1562,Arizona,43%,43%,,comedy,English,JonathanWatson,"DanFriedkin,RyanFriedkin,BrandonJames,BradleyThomas",LukeDelTredici,"Aug24,2018 limited","Aug24,2018",1h25m,"ImperativeEntertainment,RoughHousePictures",,,,
1563,Hotel Artemis,58%,35%,R(LanguageThroughout|BriefDrugUse|SomeSexualReferences|Violence),"mysteryandthriller,action",English,DrewPearce,"AdamSiegel,MarcPlatt,StephenCornwell,SimonCornwell",DrewPearce,"Jun8,2018 wide","Oct9,2018",1h33m,"MarcPlattProductions,TheInkFactory",Scope(2.35:1),DolbyDigital,$6.7M,
1564,Reprisal,8%,17%,R(ViolenceandLanguage),"mysteryandthriller,action",English,BrianA.Miller,"RandallEmmett,GeorgeFurla,MarkStewart",BryceHammons,"Aug31,2018 limited","Sep3,2018",1h29m,"Emmett/Furla/OasisFilms,KindHeartsEntertainment,IngeniousMedia",,,,
1565,Apostle,78%,54%,,"mysteryandthriller,horror",English,GarethEvans,"GarethEvans,EdTalfan,AramTertzakian",GarethEvans,,"Oct12,2018",2h9m,"SevernScreenLimited,XYZFilms",Scope(2.35:1),,,
1566,Better Start Running,33%,37%,,"adventure,comedy",English,BrettSimon,"DouglasW.Miller,DawnBierschwal,BriannaLeeJohnson,EricFischer,AnnieBurgstede,ChadFaust","AnnieBurgstede,ChadFaust","Oct12,2018 limited","Oct12,2018",1h32m,"PiccadillyPictures,TunnelPost",Flat(1.85:1),,,
1567,22 July,80%,70%,R(Language|GraphicImages|DisturbingViolence),drama,English,PaulGreengrass,"ScottRudin,EliBush,GregoryGoodman,PaulGreengrass",PaulGreengrass,"Oct10,2018 limited","Oct10,2018",2h23m,ScottRudinProductions,Flat(1.85:1),,,
1568,Invisible Essence: The Little Prince,100%,NaN,,documentary,English,CharlesOfficer,"StuartHenderson,JakeYanowski",,,"Oct16,2018",1h29m,,,,,
1569,Malevolent,38%,16%,TVMA,"mysteryandthriller,horror",English,OlafdeFleurJohannesson,"BrianCoffey,DannySherman","BenKetai,EvaKonstantopoulos",,"Oct5,2018",1h28m,ThrulineEntertainment,,,,
1570,Feminists: What Were They Thinking?,80%,58%,,documentary,English,JohannaDemetrakas,"GretchenLandau,LisaRemington",,,"Oct12,2018",1h27m,,,,,
1571,Nappily Ever After,71%,73%,TVMA,"romance,comedy,drama",English,HaifaaAl-Mansour,"TraceyBing,JaredLeBoff,MarcPlatt","TinaGordonChism,LisaLoomer,GinaPrince-Bythewood",,"Sep21,2018",,"Netflix,MarcPlattProductions",,,,
1572,Gotti,0%,46%,R(StrongViolence|PervasiveLanguage),"biography,crime,drama",English,KevinConnolly,"RandallEmmett,GeorgeFurla,MarcFiore,MichaelFroch","LeoRossi,LemDobbs","Jun15,2018 wide","Sep11,2018",1h45m,FioreFilms,,,$4.3M,
1573,Hotel Transylvania 3: Summer Vacation,62%,48%,PG(SomeActionandRudeHumor),"comedy,animation,adventure,kidsandfamily,fantasy",English,GenndyTartakovsky,MichelleMurdocca,"GenndyTartakovsky,MichaelMcCullers","Jul13,2018 wide","Sep26,2018",1h37m,SonyPicturesAnimation,Flat(1.85:1),"DolbyAtmos,DolbyDigital,DTS",$167.5M,
1574,Sicario: Day Of The Soldado,62%,65%,R(Language|BloodyImages|StrongViolence),"crime,mysteryandthriller,action,drama",English,StefanoSollima,"BasilIwanyk,EdwardL.McDonnell,MollySmith,ThadLuckinbill,TrentLuckinbill",TaylorSheridan,"Jun29,2018 wide","Sep18,2018",2h2m,"ThunderRoadPictures,BlackLabelMedia",Scope(2.35:1),DolbyAtmos,$50.1M,
1575,Billionaire Boys Club,7%,36%,R(SexualContent|LanguageThroughout|DrugUse|SomeViolence),"mysteryandthriller,drama",English,JamesCox,"CassianElwes,ChristopherLemole,HollyWiersma,TimZajaros","JamesCox,CaptainMauzner","Aug17,2018 limited","Jan17,2019",1h48m,ElevatedFilms,,,,
1576,The First Purge,56%,27%,R(PervasiveLanguage|DrugUse|SomeSexuality|StrongDisturbingViolence),"mysteryandthriller,action,horror",English,GerardMcMurray,"JasonBlum,MichaelBay,AndrewForm,BradFuller,SebastienK.Lemercier",JamesDeMonaco,"Jul4,2018 wide","Sep18,2018",1h37m,"BlumhouseProductions,PlatinumDunes,PerfectWorldPictures",Scope(2.35:1),"DolbyDigital,DolbyAtmos",$68.9M,ThePurge
1577,Leave No Trace,100%,81%,PG(ThematicMaterialThroughout),drama,English,DebraGranik,"AnneHarrison,LindaReisman,AnneRosellini","DebraGranik,AnneRosellini","Jun29,2018 limited","Sep25,2018",1h48m,"HarrisonProductions,StillRollingProductions",,,$6.0M,
1578,Hot Summer Nights,43%,58%,R(SomeStrongViolence|DrugContent|SexualReferences|LanguageThroughout),"mysteryandthriller,romance,drama",English,ElijahBynum,"DanFriedkin,RyanFriedkin,BradleyThomas",ElijahBynum,"Jul27,2018 limited","Jul24,2018",1h47m,ImperativeEntertainment,,,,
1579,The Healer,17%,56%,,drama,Spanish(Spain),PacoArango,"PacoArango,EnriquePosner,MichaelVolpe",PacoArango,"Sep28,2018 limited","Jan4,2019",1h43m,"Calcón,TopsailEntertainment,ESP-62Producciones",,,,
1580,Skyscraper,48%,62%,PG-13(BriefStrongLanguage|Action|SequencesofGunViolence),"mysteryandthriller,action",English,RawsonMarshallThurber,"BeauFlynn,DwayneJohnson,RawsonMarshallThurber,HiramGarcia",RawsonMarshallThurber,"Jul13,2018 wide","Sep25,2018",1h42m,LegendaryPictures,Scope(2.35:1),"DolbyAtmos,DTS",$67.8M,
1581,After Louie,75%,67%,,"romance,drama",English,VincentGagliostro,"AlanCumming,BryceRenninger,LaurenBelfer","VincentGagliostro,AnthonyJohnston","Mar30,2018 limited","Mar30,2018",1h40m,,,,,
1582,The Song Of Sway Lake,42%,80%,R(GraphicNudity|SomeSexualContent|Language),"romance,drama",English,AriGold,"MichaelBederman,ZakKilberg,AllisonRoseCarter,AriGold","ElizabethBull,AriGold","Sep21,2018 limited","Sep25,2018",1h40m,"GrackFilms,TheOrchard",,,,
1583,Pin Cushion,90%,69%,,drama,English,DeborahHaywood,"GavinHumphries,MaggieMonteith",DeborahHaywood,"Jul20,2018 limited","Aug7,2018",1h22m,"BFIFilmFund,CleopatraRecords,DignityFilmFinance",Flat(1.85:1),,,
1584,Sollers Point,85%,58%,R(DrugContent|SomeSexualMaterial|PervasiveLanguage),drama,English,MattPorterfield,"RyanZacarias,JordanMintzer,GabrielleDumon,AlexandraByer","MattPorterfield,AmyBelk","May11,2018 limited","Jul10,2018",1h41m,LeBureau,,,$29.4K,
1585,Ramen Heads,65%,88%,,documentary,Japanese,KokiShigeno,"YûsukeKamada,ArataÔshima",,"Mar16,2018 limited","Jun21,2018",1h33m,,,,$57.6K,
1586,Eighth Grade,99%,82%,R(SomeSexualMaterial|Language),"comedy,drama",English,BoBurnham,"ScottRudin,EliBush,LilaYacoub,ChristopherStorer",BoBurnham,"Aug3,2018 wide","Sep25,2018",1h33m,A24,Flat(1.85:1),,$13.5M,
1587,White Rabbit,88%,67%,,"comedy,drama",English,DarylWein,"VivianBang,DarylWein","DarylWein,VivianBang","Sep21,2018 limited","Sep21,2018",1h11m,"GravitasVentures,MisterListerFilms",,,,
1588,I Think We're Alone Now,NaN,NaN,,,,,,,,,,,,,,
1589,The Seagull,67%,46%,PG-13(DrugUse|ASceneofViolence|PartialNudity|SomeMatureThematicElements),drama,English,MichaelMayer,"LeslieUrdang,TomHulce,RobertSalerno","AntonChekhov,StephenKaram","May11,2018 limited","Sep25,2018",1h38m,"SonyPicturesClassics,HydeParkEntertainment,ArtinaFilms",,,$1.2M,
1590,At First Light,54%,49%,,"scifi,mysteryandthriller",English,JasonStone,"MichaelBaker,ChrisFerguson",JasonStone,"Sep28,2018 limited","Sep28,2018",1h31m,"AutomatikEntertainment,OddfellowsEntertainment,Bunk11Pictures,GravitasVentures",,,,
1591,"Love, Gilda",88%,81%,,documentary,English,LisaDapolito,"LisaDapolito,BronwynBerry,MerylGoldsmith,JamesTumminia",,"Sep21,2018 limited","Sep25,2018",1h26m,"3FacesFilms,MottoPictures",,,$624.2K,
1592,Occupation,50%,88%,R(SomeLanguage),"scifi,action",English(Australia),LukeSparke,"CarlyImrie,CarmelImrie",LukeSparke,"Jul20,2018 limited","Jul20,2018",2h,"SparkeFilmsHistoryDesign,SabanFilms",,,,
1593,The Death Of Superman,92%,85%,PG-13(SomeBloodyImages|SequencesofViolence|Action),"adventure,action,animation",English,"SamLiu,JakeCastorena",,,,"Jun17,2018",1h21m,,,,,
1594,Blue Iguana,39%,80%,,comedy,English(UnitedKingdom),HadiHajaig,"HadiHajaig,TomLassally",HadiHajaig,"Aug24,2018 limited","Aug27,2018",1h48m,"ScreenMediaVentures,3ArtsEntertainment",,,,
1595,Tales From The Hood 2,75%,26%,R(SexualReferences|LanguageThroughout|DisturbingImages|Violence),horror,English,"RustyCundieff,DarinScott","RustyCundieff,DarinScott,ElaineDysinger","RustyCundieff,DarinScott",,"Oct2,2018",1h51m,Universal1440Entertainment,,,,
1596,Cruise,38%,71%,,"romance,drama",English,RobertD.Siegel,"HollyBrown,ScottLaStaiti,LauraA.Walker",RobertD.Siegel,"Sep28,2018 limited","Sep28,2018",1h30m,VerticalEntertainment,,,,
1597,Little Italy,14%,59%,R(SomeSexualReferences),romance,English,DonaldPetrie,"VinayVirmani,AjayVirmani,PaulineDhillon","SteveGalluccio,VinayVirmani","Sep21,2018 limited","Sep22,2018",1h42m,"Lionsgate,LesFilmsSéville,EntertainmentOne",,,$987.8K,
1598,Maximum Impact,9%,NaN,,"adventure,action",English,AndrzejBartkowiak,"AlexanderIzotov,AlexanderNevsky",RossLaManna,"Sep28,2018 limited","Oct2,2018",1h50m,UnifiedPictures,,,,
1599,Quincy,82%,85%,,"music,documentary",English,"RashidaJones,AlanHicks",PaulaDupréPesmen,"RashidaJones,AlanHicks","Sep21,2018 limited","Sep21,2018",2h4m,"TribecaProductions,Netflix",,,,
1600,American Dresser,0%,65%,,drama,English,CarmineCangialosi,"CarmineCangialosi,MartinSprock,RyanR.Johnson",CarmineCangialosi,"Sep21,2018 limited","Sep21,2018",1h37m,Cinedigm,,,$2.2K,
1601,Hold The Dark,71%,31%,TVMA,"adventure,mysteryandthriller",English,JeremySaulnier,"EvaMariaDaniels,RussellAckerman,JohnSchoenfelder",MaconBlair,,"Sep28,2018",2h5m,"Netflix,FilmScience,AddictivePictures",,,,
1602,Extremity,100%,44%,,horror,English,AnthonyDiBlasi,DavidBond,"DavidBond,ScottSwan","Sep28,2018 limited","Oct2,2018",1h38m,,,,,
1603,Solo: A Star Wars Story,70%,64%,PG-13(Violence|SequencesofSci-FiAction),"adventure,scifi,action,fantasy",English,RonHoward,"KathleenKennedy,AllisonShearmur,SimonEmanuel","JonathanKasdan,LawrenceKasdan","May25,2018 wide","Sep14,2018",2h15m,LucasfilmLtd.,Scope(2.35:1),"DTS,DolbyDigital,DolbyAtmos",$213.8M,StarWarsSaga
1604,Jurassic World: Fallen Kingdom,47%,48%,PG-13(Science-FictionViolence|Peril),"adventure,scifi,mysteryandthriller,action",English,JuanAntonioBayona,"FrankMarshall,BelénAtienza,PatrickCrowley","ColinTrevorrow,DerekConnolly","Jun22,2018 wide","Aug31,2018",2h8m,"PerfectWorldPictures,UniversalPictures,TheKennedy/MarshallCompany,AmblinEntertainment,LegendaryEntertainment",Scope(2.35:1),"DTS,DolbyAtmos,DolbyDigital",$416.7M,JurassicPark
1605,Ocean's 8,69%,45%,PG-13(Language|DrugUse|SomeSuggestiveContent),"crime,comedy,drama",English,GaryRoss,"StevenSoderbergh,SusanEkins","GaryRoss,OliviaMilch","Jun8,2018 wide","Aug21,2018",1h50m,"WarnerBros.Pictures,SmokeHouse,VillageRoadshowPictures",Scope(2.35:1),DolbyAtmos,$139.4M,Ocean's
1606,Cold Skin,48%,56%,,"mysteryandthriller,horror",English,XavierGens,"MarkAlbela,DeniseO'Dell","JesúsOlmo,EronSheean","Sep7,2018 limited","Sep7,2018",1h36m,SamuelGoldwynFilms,Scope(2.35:1),,,
1607,Found Footage 3D,100%,47%,R(ASceneofSexuality|Violence/Gore|LanguageThroughout),horror,English,StevenDeGennaro,"StevenDeGennaro,KimHenkel,CharlesMulford",StevenDeGennaro,,"Oct29,2017",1h40m,FF3D,,,,
1608,The Gardener,75%,77%,,documentary,English,SébastienChabot,SébastienChabot,,"Mar28,2018 limited","Sep18,2018",1h28m,ReflektorFilms,,,$55.5K,
1609,Susanne Bartsch: On Top,100%,75%,,documentary,English,"AlexanderSmith,AnthonyCaronna","MichaelBeachNichols,ChristopherK.Walker",,"Sep7,2018 limited","Sep11,2018",1h24m,,,,,
1610,The Basement,11%,26%,,horror,English,"BrianM.Conley,NathanIves","NathanIves,MarkHeidelberger,SeanDecker,BrianM.Conley","BrianM.Conley,NathanIves","Sep14,2018 limited","Sep17,2018",1h30m,TheConleyCompany,,,,
1611,Uncle Drew,61%,47%,PG-13(Language|BriefNudity|SuggestiveMaterial),comedy,English,CharlesStoneIII,"MartyBowen,WyckGodfrey",JayLongino,"Jun29,2018 wide","Sep11,2018",1h44m,"TempleHillEntertainment,PepsiProductions",Flat(1.85:1),,$42.5M,
1612,Sierra Burgess Is A Loser,61%,30%,PG-13(ThematicMaterial|Language|TeenPartying|SexualReferences),romance,English,IanSamuels,"MollySmith,RachelSmith,TrentLuckinbill,ThadLuckinbill",LindseyBeer,,"Sep8,2018",1h45m,,,,,
1613,City Of Joy,100%,60%,,documentary,English,MadeleineGavin,AllysonLuchak,,,"Sep7,2018",1h14m,ImpactPartners,,,,
1614,Hearts Beat Loud,92%,73%,PG-13(SomeDrugReferences|BriefLanguage),"music,comedy,drama",English,BrettHaley,"HoustonKing,SamBisbee,SamSlater","BrettHaley,MarcBasch","Jun8,2018 limited","Sep13,2018",1h37m,NorthernLightsFilms,,,$2.4M,
1615,Damsel,67%,55%,R(SexualMaterial|Language|BriefGraphicNudity|SomeViolence),"western,comedy",English,"DavidZellner,NathanZellner","NathanZellner,DavidZellner,ChrisOhlson","DavidZellner,NathanZellner","Jun22,2018 limited","Sep18,2018",1h53m,GreatPointMedia,,,$282.8K,
1616,Superfly,50%,46%,R(LanguageThroughout|DrugContent|Nudity|StrongSexuality|Violence),"crime,mysteryandthriller,action,drama",English,DirectorX.,"JoelSilver,Future",AlexTse,"Jun13,2018 wide","Aug28,2018",1h56m,"ColumbiaPictures,SilverPictures",Flat(1.85:1),,$20.5M,
1617,A Wizard's Tale (Here Comes The Grump),20%,75%,,"comedy,animation,adventure,kidsandfamily,fantasy",English,AndrésCouturier,"GregoryGavanski,JoseC.GarciadeLetona,FernandodeFuentes",JimHecht,"Sep14,2018 limited","Sep14,2018",1h37m,,,,$2.1K,
1618,That Summer,82%,60%,,documentary,English,GöranHugoOlsson,"JoslynBarnes,TobiasJanson,NejmaBeard",,"May18,2018 limited","May20,2018",1h20m,"LouvertureFilms,FinalCutforReal",,,$6.0K,
1619,Don't Leave Home,74%,22%,,"mysteryandthriller,horror",English,MichaelTully,"JeffreyAllard,WalterS.Hall,RyanZacarias",MichaelTully,"Sep14,2018 limited","Sep27,2018",1h26m,"SuboticaEntertainment,IndieEntertainment,GoodDeedEntertainment,SalemStreetEntertainment",Flat(1.85:1),,,
1620,Gonjiam: Haunted Asylum,91%,71%,,"mysteryandthriller,horror",Korean,JungBum-Shik,,,"Apr13,2018 limited","Sep18,2018",1h33m,,,,$111.2K,
1621,Distorted,18%,82%,R(DisturbingImages|SomeViolence),mysteryandthriller,English,RobW.King,KevinDeWalt,ArneOlsen,"Jun22,2018 limited","Jun22,2018",1h27m,"MindsEyeEntertainment,BridgegatePictures",,,,
1622,Siberia,12%,17%,R(Nudity|Language|DrugUse|SomeViolence|StrongSexualContent),"mysteryandthriller,romance",English,MatthewRoss,"BradenAftergood,GabrielaBacher,KeanuReeves,CassianElwes,StephenHamel,DaveHansen",ScottB.Smith,"Jul13,2018 limited","Jul19,2018",1h44m,"BuffaloGalPictures,SummerstormEntertainment,CompanyFilms,FilmHouseGermany",,,,
1623,A Crooked Somebody,80%,64%,R(LanguageandBriefViolence),mysteryandthriller,English,TrevorWhite,"JasonPotash,PaulFinkel,TimothyWhite,WayneL.Rogers",AndrewZilch,"Oct5,2018 limited","Oct5,2018",1h42m,"SynergicsFilms,VerticalEntertainment,StoryboardEntertainment,StarThrowerEntertainment",Scope(2.35:1),,,
